gene,CK_1,CK_2,CK_3,CK_4,CK_5,CK_6,NG_1,NG_2,NG_3,NG_4,NG_5,NG_6,MCFA_1,MCFA_2,MCFA_3,MCFA_4,MCFA_5,MCFA_6
LOC692777,2.9,1.15,2.71,0.79,2.68,2.09,0.36,0.52,0.82,0.37,0.58,1.57,0.62,16,1.44,1.32,0.12,0.3
LOC692883,3,1.54,5.74,1.22,2.72,4.11,4.53,4.36,10.14,7.76,5.51,5.44,3.44,3.34,5.59,7.63,7.42,3.75
LOC692995,6.51,7.14,7.93,13.65,8.23,7.93,74.46,68.27,10.76,10.34,13.25,14.23,9.14,10.25,20.46,6.99,9.16,122.79
LOC693027,113.39,57.58,79.07,58.44,129.43,51.47,37.72,32.28,17.53,23.7,16.68,18.75,33.14,81.21,26.42,47.33,17.08,31.79
LOC732962,3.34,3.78,2.07,3.09,2.05,2.12,22.86,24,3.11,5.91,4.17,4.69,1.64,3.81,2.65,5.07,3.93,16.91
Nanoso,1.11,1.37,0.57,0.45,0.73,1.24,2.26,1.09,3.06,1.78,2.45,1.8,0.45,2.21,1.63,1.9,2.55,0.7
P25,1.38,5.09,1.46,1.39,3.44,3.03,6162.79,5373.21,2.64,6.32,4.18,4.34,2.35,0.36,5.41,1.81,16.82,6820.11
PPAE,48.21,48.85,58.49,44.73,46.9,37.8,49.84,73.71,63.55,135.22,302.66,146.3,38.53,61.55,290.99,130.64,14.08,41.35
Ppbp2,0.22,0.06,0.04,0,0,0,0.66,0,0.5,0.52,0.23,0.77,0.11,0.08,0,0.04,0.06,0
Tub1,91.56,142.2,129.34,93.25,65.82,100.14,125.09,187.47,201.12,232.96,418.94,204.93,85.27,89.07,269.03,180.85,125.32,84.65
Tub2,99.62,147.12,144.38,112.8,108.74,136.19,116.52,137.27,212.15,232.33,394.58,228.39,112.24,107.35,340.13,156.73,137.5,120.64
UGT340C1,0,0,0,0,0,0,0,0,10.89,0,1.17,0.25,0,0,0.51,0,3.74,0
UGT40B4,1.78,1.28,0.88,2.13,1.22,0.57,3.96,0.78,4.58,0.87,19.11,1.48,0.87,0.17,4.06,1.51,1.3,1.29
UGT41A3,0.16,0.17,0.35,0.72,0.3,0.36,0.94,0.13,2.98,0.31,9.56,0.76,0.18,0.46,0.79,0.98,3.92,0.12
UGT50A1,8.69,5.53,4.4,4.06,3.28,9.26,4.95,7.8,13.74,17.9,17.13,13.24,12.01,13.52,23.01,8.38,12.24,4.5
Ugt2,0.06,0.03,0.03,0.03,0.13,0.06,55.61,100.38,0.13,0.06,0.03,0,0,0,0.03,0,0.18,128.3
ae25,0.12,0.02,0,0.05,0,0.09,17.99,16.15,0,0,0.07,0.1,0.05,0.03,0,0,0.06,21.22
sage,0.41,0.12,0.1,0.09,0.27,0.34,38.57,25.79,0.3,0.09,0.14,0.14,0.05,0,0.4,0,0,50.91
serpin-15,0.7,0.77,0.76,0.46,0.61,0.18,6.86,38.27,0.05,1.56,0.47,0.67,0.58,0.13,0.87,0.04,0,30.83
Lp-c19,1443.83,24.77,439.39,270.51,1.76,26.86,4578.8,10.38,12.07,5.77,118.78,15.37,13.41,3.18,38.76,9.31,5.28,22.89
LOC101745066,2.2,1.25,2.24,2.14,0.19,1.56,2.12,0.03,14.56,0.72,31.43,0.42,0.1,7.56,50.91,4.42,62.04,0.39
Sp2,0.26,0.14,0.96,0.26,0.05,0.1,3.67,0.16,0.02,0,0.08,0.02,0,0.02,0.02,0.02,0,0.04
LOC101739565,1.74,3.21,1.82,1.07,1.17,1.48,305.57,2.17,1.9,3.1,3.5,1.1,2.6,0.81,3.15,143.86,25.75,0.79
LOC101736302,7.2,0.31,1.71,4.48,0.16,0.22,29.38,0.05,0.15,0,0.84,0.19,0.09,0,0.05,0.13,0.18,0.09
LOC101744924,0.53,0.48,1.23,0.37,0.03,0.31,0.65,0,1.77,0.09,8.25,0.03,0.03,8.09,26.05,1.38,12.26,0.08
LOC101735904,26.94,1.3,18.19,8.5,0.03,1.12,138.65,0.29,0,0.03,4.41,0.22,0.25,0,0.31,0.34,0.05,0.23
LOC101735420,1.22,0.3,1.25,0.44,0.09,0,0.57,0.05,0.3,0,0.05,0,0,0,0,0,0,0
LOC101735447,494.6,10.35,180.74,70.36,0.17,10.67,1262.24,3.29,1.47,0,45.49,2.62,2.94,0.48,9.94,0.19,0.16,7.22
Lp-c23,471.99,10.16,250.9,58.79,0.7,11.98,1124.09,4.16,2.4,1.55,15.52,5.35,8.5,0.58,17.56,3.57,0.77,10.72
Lp-c6,1820.98,25.36,539.97,273.33,1.8,32.39,4869.17,10.16,12.16,6,118.41,17.58,16.9,4.22,41.11,12.27,3.7,20.34
